opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/5730125,,Ahaavan Greens,Ahaavan Group,Ahmedabad,Drone video + voiceover,,1,24-Jan-2025,27-Jan-2025,Deep Vishambhar Hukumatani,1st Cut Delivery,27-Jan-2025,17-Mar-2025
https://lookup.housing.com/opportunity/5716657,,Palm Grande,Manohar Singh &co,Mohali,Custom content,,1,23-Jan-2025,1-Feb-2025,Khagesh Mahajan,1st Cut Delivery,28-Feb-2025,1-Feb-2025
https://lookup.housing.com/opportunity/5777713,,Venus Capital Heights,VENUS STAR CONSTRUCTION PVT. LTD.,Patna,Drone Interactive,,1,1-Feb-2025,3-Feb-2025,Junaid Azmi,2nd Cut Delivery,13-Feb-2025,13-Feb-2025
https://lookup.housing.com/opportunity/5777713,,Venus Capital Heights,VENUS STAR CONSTRUCTION PVT. LTD.,Patna,Drone video + voiceover,,1,1-Feb-2025,3-Feb-2025,Junaid Azmi,2nd Cut Delivery,13-Feb-2025,13-Feb-2025
https://lookup.housing.com/opportunity/5761915,,M1 Homes,M1 Homes,Bangalore,Area Wiki Lite,,1,1-Feb-2025,1-Feb-2025,S Zilani Basha,2nd Cut Delivery,9-Feb-2025,9-Feb-2025
https://lookup.housing.com/opportunity/6114380,,VVIP Addresses,VVIP,Noida,Drone Interactive,,1,20-Mar-2025,6-Mar-2025,Manisha Mehla,2nd Cut Delivery,11-Mar-2025,11-Mar-2025
https://lookup.housing.com/opportunity/6114380,,VVIP Addresses,VVIP,Noida,Drone video + voiceover,,1,20-Mar-2025,6-Mar-2025,Manisha Mehla,2nd Cut Delivery,11-Mar-2025,11-Mar-2025
https://lookup.housing.com/opportunity/5781147,,Stalwart,Stalwart Projects Pvt Ltd,Bhubaneswar,Drone Interactive,,1,3-Feb-2025,3-Mar-2025,Madhushree Mukherjee,1st Cut Delivery,3-Mar-2025,3-Mar-2025
https://lookup.housing.com/opportunity/5781147,,Stalwart,Stalwart Projects Pvt Ltd,Bhubaneswar,Construction Update,,1,3-Feb-2025,3-Feb-2025,Madhushree Mukherjee,1st Cut Delivery,17-Feb-2025,17-Feb-2025
https://lookup.housing.com/opportunity/6063819,,Nottingham Homz,DRAGON AGE REALTORS Pvt. Ltd.,Lucknow,Drone Interactive,,1,10-Mar-2025,11-Mar-2025,Rishabh Pandey,2nd Cut Delivery,17-Mar-2025,17-Mar-2025
https://lookup.housing.com/opportunity/6812611,,Motia Blue Ridge,Motia Group,Zirakpur,Drone video + voiceover,,1,27-May-2025,10-Jun-2025,Raghavendra Solanki,Project Start Date,23-Jun-2025,23-Jun-2025
https://lookup.housing.com/opportunity/6093384,,Green Lotus,Maya Estate,Panchkula,Drone video + voiceover,,1,12-Mar-2025,9-Jun-2025,Raghavendra Solanki,Project Start Date,3-Jul-2025,3-Jul-2025
https://lookup.housing.com/opportunity/6788479,,Subha Ratnam,SUBHA CONSTRUCTION AND DEVELOPER,Bhubaneswar,Drone Interactive,,1,23-May-2025,2-Jun-2025,Rakesh Swain,Project Start Date,9-Jun-2025,9-Jun-2025
